2023-10-19 23:18:33,005 - INFO - Frame 22: Num_Contours=134, Percentage_outliers=2.99, Concentration=20.09, Pancake_no=5, Brash_no=8, Frazil_no=69, Pancake_area=11.87, Brash_area=10.69, Frazil_area=26.71, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,011 - INFO - Frame 23: Num_Contours=132, Percentage_outliers=1.52, Concentration=23.41, Pancake_no=8, Brash_no=6, Frazil_no=72, Pancake_area=20.17, Brash_area=8.08, Frazil_area=30.61, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,017 - INFO - Frame 24: Num_Contours=136, Percentage_outliers=2.21, Concentration=22.43, Pancake_no=6, Brash_no=8, Frazil_no=70, Pancake_area=15.14, Brash_area=10.98, Frazil_area=29.49, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,023 - INFO - Frame 25: Num_Contours=126, Percentage_outliers=2.38, Concentration=21.21, Pancake_no=6, Brash_no=6, Frazil_no=69, Pancake_area=14.89, Brash_area=8.73, Frazil_area=29.26, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,031 - INFO - Frame 26: Num_Contours=126, Percentage_outliers=2.38, Concentration=23.13, Pancake_no=7, Brash_no=9, Frazil_no=67, Pancake_area=17.33, Brash_area=12.23, Frazil_area=28.13, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,037 - INFO - Frame 27: Num_Contours=127, Percentage_outliers=2.36, Concentration=25.78, Pancake_no=6, Brash_no=11, Frazil_no=67, Pancake_area=16.98, Brash_area=15.91, Frazil_area=30.58, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,043 - INFO - Frame 28: Num_Contours=124, Percentage_outliers=3.23, Concentration=24.42, Pancake_no=6, Brash_no=10, Frazil_no=68, Pancake_area=15.54, Brash_area=14.61, Frazil_area=29.94, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,049 - INFO - Frame 29: Num_Contours=127, Percentage_outliers=3.15, Concentration=24.76, Pancake_no=7, Brash_no=9, Frazil_no=70, Pancake_area=17.99, Brash_area=12.94, Frazil_area=30.21, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,055 - INFO - Frame 30: Num_Contours=131, Percentage_outliers=2.29, Concentration=27.62, Pancake_no=6, Brash_no=14, Frazil_no=69, Pancake_area=17.59, Brash_area=20.18, Frazil_area=29.09, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,062 - INFO - Frame 31: Num_Contours=129, Percentage_outliers=2.33, Concentration=27.76, Pancake_no=8, Brash_no=12, Frazil_no=65, Pancake_area=22.55, Brash_area=16.88, Frazil_area=27.7, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
